chunk_id,pmid,year,title,text_chunk
9e41e5e9-942e-42bb-9303-4ecfd67a811e,17699180,2007,Clinical epidemiology of heart failure,"Clinical epidemiology of heart failure. The aim of this paper is to review the clinical epidemiology of heart failure. The last paper comprehensively addressing the epidemiology of heart failure in Heart appeared in 2000. Despite an increase in manuscripts describing epidemiological aspects of heart failure since the 1990s, additional information is still needed, as indicated by various editorials."
d6b1cc45-49b9-437f-bf30-e21627cc1ba7,26596665,2015,"Heart Failure: Pathophysiology, Diagnosis, Medical Treatment Guidelines, and Nursing Management","Heart Failure: Pathophysiology, Diagnosis, Medical Treatment Guidelines, and Nursing Management. Heart failure (HF) is a debilitating chronic disease and is expected to increase in upcoming years due to demographic changes. Nurses in all settings have an essential role in supporting patients in managing this disease. This article describes the pathophysiology of HF, diagnosis, medical management, and nursing interventions. It is crucial for nurses to understand the pathophysiology of HF and the importance that nursing actions have on enhancing medical management to alleviate symptoms and to deter the advancement of the pathophysiologic state. Such an understanding can ultimately reduce morbidity and mortality and optimize quality of life in patients with HF."
7fff9ffd-6aff-4890-a21a-9ad676ff186b,30717842,2019,The Many Faces of Heart Failure,"The Many Faces of Heart Failure. Heart failure is a heterogeneous clinical syndrome stemming from cardiac overload and injury that leads to considerable morbidity and mortality. This review highlights the many faces of heart failure, a major and growing public health problem, including its causes, classification, underlying pathophysiology, and variable progression. An individualized, patient-centered treatment approach that focuses on guideline-directed pharmacologic and device therapies is required for optimal management of this complex syndrome."
77bb04d2-498b-42b7-8297-ad470c882dd5,28785969,2017,"Acute Heart Failure: Definition, Classification and Epidemiology","Acute Heart Failure: Definition, Classification and Epidemiology. Purpose of review: The purpose of this review is to describe the extent and scope of acute heart failure (AHF), place it within its clinical context and highlight some of the difficulties in defining it as a pathophysiological entity. Recent findings: A diagnosis of AHF is made when patients present acutely with signs and symptoms of heart failure, often with decompensation of pre-existing cardiomyopathy. The most current guidelines classify based on clinical features at initial presentation and are used to both risk stratify and guide the management of haemodynamic compromise. Despite this, AHF remains a diagnosis with a poor prognosis and there is no therapy proven to have long-term mortality benefits. We provide an introduction to AHF and discuss its definition, causes and precipitants. We also present epidemiological and demographic data to suggest that there is significant patient heterogeneity and that AHF is not a single pathology, but rather a range of pathophysiological entities. This poses a challenge when designing clinical trials and may, at least in part, explain why the results in this area have been largely disappointing."
47892d33-832d-44f8-8d5d-be426f41e8cd,31006522,2020,Acute heart failure,"Acute heart failure. Acute heart failure (AHF) is one of the most common causes for hospital admission and is associated with a high risk of mortality. Compared to chronic heart failure, there is less robust evidence to guide diagnosis, risk stratification and management of AHF. This state-of-the art review aims to summarize new developments in this field. We also highlight areas of ongoing work including novel vasoactive agents, alternative models to traditional hospital admission and strategies to improve patient engagement."
897c0128-2568-4823-a24e-d78cc81e50a9,36922473,2023,Diagnosis and Management of Pediatric Heart Failure,"Diagnosis and Management of Pediatric Heart Failure. Heart failure is a highly morbid syndrome, recognized as a major cause of adult mortality. Heart failure in pediatric patients, whether in the setting of congenital or acquired heart disease, is similarly associated with high mortality and resource utilization. Understanding the clinical presentation, diagnosis, and initial stabilization of pediatric heart failure is paramount for any acute care clinician as it may mimic common childhood ailments like viral respiratory or gastrointestinal illnesses. Pediatric heart failure occurs in patients with palliated or unpalliated congenital heart disease, familial or acquired cardiomyopathy, acquired valve disease, and myocarditis. This review will focus on heart failure in pediatric patients with structurally normal hearts and will summarize what is known about patterns of presentation, etiologies, diagnostic evaluation, and the acute and chronic management of this highly morbid syndrome."
8a8d7782-a18f-4ff8-afd8-3e735ad1d712,31735319,2020,"Hypertension and Heart Failure: Prevention, Targets, and Treatment","Hypertension and Heart Failure: Prevention, Targets, and Treatment. Hypertension is possibly the most powerful, modifiable risk factor for the development of heart failure. Chronic hypertension drives cardiac remodeling within the left ventricle resulting in hypertensive heart disease, which ultimately manifests as heart failure. Early detection and appropriate management are necessary to prevent heart failure as well as other cardiovascular diseases. Achieving blood pressure goals in conjunction with using evidence-based treatments can improve clinical outcomes for patients with comorbid hypertension and heart failure."
ba18154d-ea17-4034-8cfb-4e01780ba307,32720082,2021,Heart failure and COVID-19,"Heart failure and COVID-19. Heart failure is a common disease state that can be encountered at different stages in the course of a COVID-19 patient presentation. New or existing heart failure in the setting of COVID-19 can present a set of unique challenges that can complicate presentation, management, and prognosis. A careful understanding of the hemodynamic and diagnostic implications is essential for appropriate triage and management of these patients. Abnormal cardiac biomarkers are common in COVID-19 and can stem from a variety of mechanisms that involve the viral entry itself through the ACE2 receptors, direct cardiac injury, increased thrombotic activity, stress cardiomyopathy, and among others. The cytokine storm observed in this pandemic can be a culprit in many of the observed mechanisms and presentations. A correct understanding of the two-way interaction between heart failure medications and the infection as well as the proposed COVID-19 medications and heart failure can result in optimal management. Guideline-directed medical therapy for heart failure should not be interrupted for theoretical concerns but rather based on tolerance and clinical presentation. Initiating specific cardiac or heart failure medications to prevent the infection or mitigate the disease is also not an evidence-based practice at this time. Heart failure patients on advanced therapies including those with heart transplantation will particularly benefit from involving the advanced heart failure team members in the overall management if they contract the virus."
fb544f60-d7c5-49c7-9542-f77c76ef0781,38808502,2024,Evaluation and Management of Chronic Heart Failure in Children and Adolescents With Congenital Heart Disease: A Scientific Statement From the American Heart Association,"Evaluation and Management of Chronic Heart Failure in Children and Adolescents With Congenital Heart Disease: A Scientific Statement From the American Heart Association. With continued medical and surgical advancements, most children and adolescents with congenital heart disease are expected to survive to adulthood. Chronic heart failure is increasingly being recognized as a major contributor to ongoing morbidity and mortality in this population as it ages, and treatment strategies to prevent and treat heart failure in the pediatric population are needed. In addition to primary myocardial dysfunction, anatomical and pathophysiological abnormalities specific to various congenital heart disease lesions contribute to the development of heart failure and affect potential strategies commonly used to treat adult patients with heart failure. This scientific statement highlights the significant knowledge gaps in understanding the epidemiology, pathophysiology, staging, and outcomes of chronic heart failure in children and adolescents with congenital heart disease not amenable to catheter-based or surgical interventions. Efforts to harmonize the definitions, staging, follow-up, and approach to heart failure in children with congenital heart disease are critical to enable the conduct of rigorous scientific studies to advance our understanding of the actual burden of heart failure in this population and to allow the development of evidence-based heart failure therapies that can improve outcomes for this high-risk cohort."
064ef23b-4086-418f-b6bf-2c0b6e534248,22962896,2012,Diagnosis and evaluation of heart failure,"Diagnosis and evaluation of heart failure. Heart failure is a common clinical syndrome characterized by dyspnea, fatigue, and signs of volume overload, which may include peripheral edema and pulmonary rales. Heart failure has high morbidity and mortality rates, especially in older persons. Many conditions, such as coronary artery disease, hypertension, valvular heart disease, and diabetes mellitus, can cause or lead to decompensation of chronic heart failure. Up to 40 to 50 percent of patients with heart failure have diastolic heart failure with preserved left ventricular function, and the overall mortality is similar to that of systolic heart failure. The initial evaluation includes a history and physical examination, chest radiography, electrocardiography, and laboratory assessment to identify causes or precipitating factors. A displaced cardiac apex, a third heart sound, and chest radiography findings of venous congestion or interstitial edema are useful in identifying heart failure. Systolic heart failure is unlikely when the Framingham criteria are not met or when B-type natriuretic peptide level is normal. Echocardiography is the diagnostic standard to confirm systolic or diastolic heart failure through assessment of left ventricular ejection fraction. Evaluation for ischemic heart disease is warranted in patients with heart failure, especially if angina is present, given that coronary artery disease is the most common cause of heart failure."
