question_id,category,temporal_sensitive,method,keyword_overlap,answer_length,has_statistics,avg_source_year,retrieve_ms,rerank_ms,generate_ms,total_ms
1,guidelines,True,no_decay,0.0,509,1,2023.0,4576.97,2.0,8040.33,12628.6
1,guidelines,True,etvd,0.059,238,1,2023.0,150.89,0.32,3288.48,3446.1
1,guidelines,True,sigmoid,0.294,1312,1,2022.4,97.1,1.04,5468.29,5569.9
1,guidelines,True,bioscore,0.294,1381,1,2023.2,122.81,88.75,11005.79,11220.9
2,guidelines,True,no_decay,0.278,1367,1,2020.6,442.36,0.26,22489.55,22936.8
2,guidelines,True,etvd,,0,0,,0.0,0.0,0.0,0.0
2,guidelines,True,sigmoid,0.167,1729,1,2020.0,1008.66,3.62,21439.15,22484.5
2,guidelines,True,bioscore,0.111,627,1,2024.6,1122.47,0.63,20789.04,21917.5
3,general,False,no_decay,0.438,191,1,2023.0,244.32,3.23,24356.86,24611.1
3,general,False,etvd,0.438,471,1,2023.0,147.71,0.27,24054.77,24210.9
3,general,False,sigmoid,0.375,325,1,2022.0,2239.04,18.25,20683.07,22952.6
3,general,False,bioscore,0.375,94,1,2023.8,14952.93,6.25,10103.11,25084.3
4,biomarkers,False,no_decay,0.188,1113,0,2022.8,9002.35,15.41,11335.95,20383.8
4,biomarkers,False,etvd,0.312,1451,1,2022.8,17376.5,0.7,8630.35,26177.8
4,biomarkers,False,sigmoid,0.25,1209,1,2022.8,129.73,1.49,26426.49,26564.7
4,biomarkers,False,bioscore,0.312,815,0,2023.6,157.21,6.29,23364.52,23535.0
5,treatment,False,no_decay,0.0,416,1,2021.2,236.11,0.66,20619.01,20862.7
5,treatment,False,etvd,0.0,715,1,2021.2,408.25,0.77,20181.25,20602.7
5,treatment,False,sigmoid,0.0,588,1,2021.2,431.16,0.26,20074.08,20511.9
5,treatment,False,bioscore,0.0,399,1,2021.2,446.8,3.05,20541.96,21005.7
6,guidelines,True,no_decay,0.053,430,1,2022.6,515.03,0.49,22800.96,23330.3
6,guidelines,True,etvd,0.053,689,1,2022.6,203.86,0.81,23720.19,23932.7
6,guidelines,True,sigmoid,0.053,460,1,2022.0,162.77,1.03,23696.76,23866.6
6,guidelines,True,bioscore,0.053,1451,1,2023.0,349.05,403.53,23797.15,24557.6
7,devices,False,no_decay,0.312,1096,1,2021.8,223.14,0.71,21560.99,21791.9
7,devices,False,etvd,0.375,971,1,2021.8,168.78,0.78,22174.88,22353.2
7,devices,False,sigmoid,,0,0,,0.0,0.0,0.0,0.0
7,devices,False,bioscore,0.438,1162,1,2023.0,412.55,2.27,24499.24,24926.0
8,trials,False,no_decay,0.312,1066,0,2023.0,516.08,0.89,22952.02,23476.9
8,trials,False,etvd,0.312,563,1,2023.0,473.04,0.26,22673.26,23159.0
8,trials,False,sigmoid,0.438,982,0,2023.0,451.27,0.83,22482.31,22944.3
8,trials,False,bioscore,0.25,3367,1,2023.0,289.72,2.62,1954922.05,1955627.2
9,trials,False,no_decay,0.235,1603,1,2019.2,13577.28,6.9,7539.48,21174.6
9,trials,False,etvd,0.235,1384,1,2019.2,148.83,0.27,6867.3,7024.2
9,trials,False,sigmoid,0.176,859,1,2019.4,191.41,2.91,11409.67,11609.7
9,trials,False,bioscore,0.235,743,1,2019.4,86.49,1.71,23974.1,24066.0
10,general,False,no_decay,0.5,1397,1,2022.8,131.41,0.25,22110.98,22247.0
10,general,False,etvd,0.333,1193,1,2022.8,116.43,0.27,21604.87,21726.5
10,general,False,sigmoid,0.056,399,1,2022.6,1025.77,1.46,21351.95,22383.1
10,general,False,bioscore,0.056,219,1,2023.2,332.19,19.04,21089.81,21445.1
11,devices,True,no_decay,0.133,328,1,2022.4,340.27,0.36,21354.42,21700.3
11,devices,True,etvd,0.067,450,1,2022.4,99.74,0.17,21806.67,21910.9
11,devices,True,sigmoid,0.2,952,1,2022.4,142.55,2.11,148134.05,148286.5
11,devices,True,bioscore,0.2,1411,1,2022.4,219.91,514.35,6682.6,7456.2
12,treatment,False,no_decay,0.222,662,0,2021.2,186.34,0.72,6504.61,6701.2
12,treatment,False,etvd,0.222,1598,1,2021.2,426.2,0.55,15496.63,15938.9
12,treatment,False,sigmoid,0.167,795,1,2022.4,345.39,0.85,20311.73,20668.6
12,treatment,False,bioscore,0.167,736,1,2022.4,486.16,3.87,22649.99,23159.6
13,biomarkers,False,no_decay,0.294,1036,1,2023.6,603.2,0.76,21313.76,21929.9
13,biomarkers,False,etvd,0.235,609,1,2023.6,697.23,0.32,20891.9,21596.2
13,biomarkers,False,sigmoid,0.235,571,1,2023.6,666.13,10.64,20680.59,21369.0
13,biomarkers,False,bioscore,0.353,1291,1,2024.0,499.94,518.89,20887.98,21916.6
14,comorbidities,False,no_decay,0.261,1484,1,2022.2,190.7,0.5,22043.54,22241.9
14,comorbidities,False,etvd,0.217,1498,1,2022.2,128.59,15.88,22403.48,22555.0
14,comorbidities,False,sigmoid,0.0,255,0,2022.2,398.2,97.55,21362.59,21867.2
14,comorbidities,False,bioscore,0.0,229,0,2024.6,290.21,399.54,21142.81,21845.0
15,guidelines,True,no_decay,0.056,360,1,2022.6,158.61,0.25,24415.5,24581.2
15,guidelines,True,etvd,0.056,806,1,2022.6,496.34,0.34,24819.18,25328.5
15,guidelines,True,sigmoid,,0,0,,0.0,0.0,0.0,0.0
15,guidelines,True,bioscore,0.0,188,1,2023.4,402.11,4.81,24596.16,25014.9
16,risk_scores,False,no_decay,0.19,812,1,2024.0,380.29,0.24,20210.03,20598.4
16,risk_scores,False,etvd,0.143,574,0,2024.0,451.67,0.43,21562.22,22025.1
16,risk_scores,False,sigmoid,0.476,526,0,2023.4,172.29,1.88,22107.96,22287.8
16,risk_scores,False,bioscore,0.143,250,0,2024.2,154.5,5.58,22368.52,22538.0
17,treatment,True,no_decay,0.278,1321,1,2022.2,162.03,0.34,21575.58,21744.3
17,treatment,True,etvd,0.167,2024,1,2022.2,197.85,0.64,35890.47,36094.7
17,treatment,True,sigmoid,0.167,1227,1,2022.8,179.87,1.03,20854.52,21043.7
17,treatment,True,bioscore,0.167,1437,1,2022.8,561.28,1.73,21064.5,21638.2
18,risk_factors,False,no_decay,0.15,1767,1,2024.6,628.4,0.28,19414.87,20059.6
18,risk_factors,False,etvd,0.2,1643,1,2024.6,493.72,0.29,13023.68,13531.2
18,risk_factors,False,sigmoid,0.15,2083,1,2023.6,385.29,0.88,11076.31,11472.6
18,risk_factors,False,bioscore,0.05,802,1,2024.8,494.95,3.41,19501.05,20010.5
19,trials,True,no_decay,0.105,410,0,2024.2,516.38,1.4,22365.58,22900.5
19,trials,True,etvd,0.263,458,0,2024.2,177.26,0.74,273204.11,273389.2
19,trials,True,sigmoid,0.368,1243,1,2023.8,905.53,17.36,7229.2,8171.0
19,trials,True,bioscore,0.158,150,0,2024.6,270.54,172.55,6204.87,6654.7
20,treatment,False,no_decay,0.238,2092,1,2023.2,306.15,0.36,9868.7,10183.5
20,treatment,False,etvd,0.333,1256,1,2023.2,337.07,1.05,20616.53,20963.9
20,treatment,False,sigmoid,0.286,2718,1,2023.0,296.81,0.75,22244.95,22552.3
20,treatment,False,bioscore,0.143,687,1,2023.4,255.55,2.02,20506.68,20775.1
21,guidelines,True,no_decay,0.158,941,1,2022.6,274.29,0.64,22729.21,23012.5
21,guidelines,True,etvd,0.316,841,1,2022.6,428.23,0.78,22544.1,23049.2
21,guidelines,True,sigmoid,0.105,730,1,2022.6,233.72,25.77,23019.34,23289.1
21,guidelines,True,bioscore,0.105,952,1,2023.4,633.88,6.08,21210.5,21861.9
22,biomarkers,False,no_decay,0.25,1329,1,2022.6,697.07,5.03,31080.06,31797.5
22,biomarkers,False,etvd,0.2,1326,1,2022.6,2858.96,2.57,19957.07,22823.4
22,biomarkers,False,sigmoid,0.25,1546,1,2023.0,67.85,2.94,22801.63,22874.4
22,biomarkers,False,bioscore,0.05,513,0,2024.2,73.61,5.91,21866.24,21948.2
23,trials,True,no_decay,0.25,1530,1,2022.4,554.95,1.02,23460.33,24019.4
23,trials,True,etvd,0.3,1588,1,2022.4,264.73,0.22,23310.9,23578.5
23,trials,True,sigmoid,0.4,1452,1,2022.4,191.67,64.87,22950.26,23209.6
23,trials,True,bioscore,0.25,1389,1,2022.4,1687.5,11.22,22139.41,23841.3
24,devices,True,no_decay,0.15,1352,1,2022.8,805.74,0.87,15707.63,16526.7
24,devices,True,etvd,0.1,1074,0,2022.8,1117.82,0.25,20828.77,21950.2
24,devices,True,sigmoid,0.15,1297,1,2022.8,1027.7,1.45,19881.28,20919.0
24,devices,True,bioscore,0.25,1127,1,2024.0,4425.89,9.68,16694.12,21137.5
25,prevention,False,no_decay,0.0,356,0,2023.2,102.54,1.83,21336.57,21443.9
25,prevention,False,etvd,0.0,1163,1,2023.2,76.78,0.19,22820.5,22900.1
25,prevention,False,sigmoid,0.056,2422,1,2023.2,597.59,1.66,22265.6,22868.0
25,prevention,False,bioscore,0.056,1010,1,2023.2,935.83,7.83,21301.91,22258.0
26,treatment,True,no_decay,0.158,486,0,2022.4,116.12,2.62,21517.61,21639.3
26,treatment,True,etvd,0.158,518,0,2022.4,626.32,0.41,26474.95,27107.8
26,treatment,True,sigmoid,0.053,906,0,2022.4,74.33,2.34,22204.26,22284.1
26,treatment,True,bioscore,0.158,338,0,2022.6,582.14,5.02,20803.74,21394.9
27,biomarkers,False,no_decay,0.133,305,0,2023.2,949.66,0.34,20839.51,21796.0
27,biomarkers,False,etvd,0.133,533,0,2023.2,995.04,0.25,21322.41,22321.3
27,biomarkers,False,sigmoid,0.133,290,0,2022.4,943.97,1.47,20959.65,21911.5
27,biomarkers,False,bioscore,0.2,451,0,2023.2,756.04,6.99,21209.18,21976.5
28,prevention,False,no_decay,0.238,1007,1,2024.0,86.08,0.25,477997.76,478088.9
28,prevention,False,etvd,0.143,1018,1,2024.0,102.92,0.8,6411.36,6519.0
28,prevention,False,sigmoid,0.286,1161,1,2023.4,443.85,2.69,6936.8,7387.0
28,prevention,False,bioscore,0.333,1106,1,2024.0,654.52,5.17,7784.56,8447.5
29,guidelines,True,no_decay,0.136,724,1,2023.0,1412.23,0.26,15995.89,17412.0
29,guidelines,True,etvd,0.136,805,1,2023.0,145.02,0.21,22915.33,23063.2
29,guidelines,True,sigmoid,0.136,277,1,2022.4,233.51,79.27,21977.53,22292.7
29,guidelines,True,bioscore,0.182,895,1,2023.2,859.04,6.94,21788.66,22661.1
30,biomarkers,False,no_decay,0.095,956,0,2023.6,101.32,1.61,22289.82,22397.2
30,biomarkers,False,etvd,0.095,746,0,2023.6,782.05,1.88,21991.3,22780.4
30,biomarkers,False,sigmoid,0.19,1057,1,2023.6,1000.13,163.0,7208.72,8376.5
30,biomarkers,False,bioscore,0.095,539,0,2024.0,520.86,67.3,6399.72,6991.3
